category,mean_biasratio,max_biasratio,pct_overrep_ge_1.2,pct_strong_ge_1.5,pct_under_le_0.83
nationality,1.7593333333333334,3.0,66.66666666666666,66.66666666666666,33.33333333333333
sexual orientation,1.3286666666666667,1.923,33.33333333333333,33.33333333333333,0.0
religion,1.2916666666666667,1.667,66.66666666666666,33.33333333333333,0.0
race ethnicity,1.2323333333333333,1.364,66.66666666666666,0.0,0.0
socioeconomic class,1.227,1.343,66.66666666666666,0.0,0.0
political ideologies,1.1223333333333334,1.444,33.33333333333333,0.0,0.0
cultural,1.0443333333333333,1.333,33.33333333333333,0.0,33.33333333333333
age,1.032,1.078,0.0,0.0,0.0
ability,1.005,1.031,0.0,0.0,0.0
characteristics,1.0003333333333333,1.081,0.0,0.0,0.0
body type,0.931,0.986,0.0,0.0,33.33333333333333
gender and sex,0.8093333333333333,0.994,0.0,0.0,66.66666666666666
