,raw_count,false_refusals,refusal_rate,p_raw,p_fr,bias_ratio
ability,21469,968,0.045,0.292,0.26,0.89
age,5643,239,0.042,0.077,0.064,0.831
body type,11096,491,0.044,0.151,0.132,0.874
characteristics,9512,403,0.042,0.129,0.108,0.837
cultural,1073,91,0.085,0.015,0.024,1.6
gender and sex,8488,358,0.042,0.115,0.096,0.835
nationality,633,70,0.111,0.009,0.019,2.111
political ideologies,984,110,0.112,0.013,0.03,2.308
race ethnicity,7921,549,0.069,0.108,0.147,1.361
religion,1760,210,0.119,0.024,0.056,2.333
sexual orientation,2427,105,0.043,0.033,0.028,0.848
socioeconomic class,2565,129,0.05,0.035,0.035,1.0
