category,mean_biasratio,max_biasratio,pct_overrep_ge_1.2,pct_strong_ge_1.5,pct_under_le_0.83
nationality,1.8703333333333332,3.0,66.66666666666666,66.66666666666666,0.0
religion,1.4306666666666665,1.667,66.66666666666666,66.66666666666666,0.0
sexual orientation,1.3920000000000001,2.154,33.33333333333333,33.33333333333333,0.0
race ethnicity,1.3246666666666667,1.5,66.66666666666666,33.33333333333333,0.0
political ideologies,1.2583333333333335,1.667,66.66666666666666,33.33333333333333,33.33333333333333
socioeconomic class,1.1973333333333334,1.5,66.66666666666666,33.33333333333333,0.0
cultural,1.111,1.333,33.33333333333333,0.0,0.0
age,1.0126666666666668,1.03,0.0,0.0,0.0
characteristics,1.0006666666666666,1.043,0.0,0.0,0.0
ability,0.9843333333333333,0.997,0.0,0.0,0.0
body type,0.9503333333333334,1.02,0.0,0.0,0.0
gender and sex,0.763,1.006,0.0,0.0,66.66666666666666
